Track title,Album title,ArtistsDuration (ms),Artist IDs,Track ID,Album ID,
Interlude: Elevator Going Up,Humanz (Deluxe),Gorillaz,4853,5IONRv0OYaGbeY48rDofZd,7vaHWkYkkaqR3dQYpeXGZU,3AA28KZvwAUcZuOKwyblJQ
,,,,,,
Andromeda (feat. DRAM),Humanz (Deluxe),Gorillaz | DRAM,197546,4CdrBnYTAo6BvNO6a4k5wE,7vaHWkYkkaqR3dQYpeXGZU,3AA28KZvwAUcZuOKwyblJQ | 5M0lbkGluOPXLeFjApw8r8
,,,,,,
Busted and Blue,Humanz (Deluxe),Gorillaz,277053,6sQrum4kF9cA53VWKt7gGd,7vaHWkYkkaqR3dQYpeXGZU,3AA28KZvwAUcZuOKwyblJQ
,,,,,,
Interlude: Talk Radio,Humanz (Deluxe),Gorillaz,19866,6WiQcNDqIWGdTr96Aykx0o,7vaHWkYkkaqR3dQYpeXGZU,3AA28KZvwAUcZuOKwyblJQ
,,,,,,
Carnival (feat. Anthony Hamilton),Humanz (Deluxe),Gorillaz | Anthony Hamilton,135946,7JQBy1O46SseR2n4sQi5NW,7vaHWkYkkaqR3dQYpeXGZU,3AA28KZvwAUcZuOKwyblJQ | 2DzRMyWgjuMbYvt5BLbpCo
,,,,,,
