Track title,Album title,ArtistsDuration (ms),Artist IDs,Track ID,Album ID
T.N.T. - Live - 1991,Live (Collector's Edition),AC/DC,228160,1Eaqc5EdMMvFcI4Z1Wh4VG,6jOO0YHvuHP4UkJuDpcAoz,711MCceyCBcFnzjGY4Q7Un
For Those About to Rock (We Salute You) - Live - 1991,Live (Collector's Edition),AC/DC,437640,7aslZ5LcxlHxizdVSfvZbH,6jOO0YHvuHP4UkJuDpcAoz,711MCceyCBcFnzjGY4Q7Un
Thunderstruck,The Razors Edge,AC/DC,292880,57bgtoPSgt236HzfBOd8kj,4vu7F6h90Br1ZtYYaqfITy,711MCceyCBcFnzjGY4Q7Un
Fire Your Guns,The Razors Edge,AC/DC,173746,0cLvKgKkqlaJ9UajbitH4l,4vu7F6h90Br1ZtYYaqfITy,711MCceyCBcFnzjGY4Q7Un
Moneytalks,The Razors Edge,AC/DC,225946,5u5F7qLDvZjBSktaDp4HxB,4vu7F6h90Br1ZtYYaqfITy,711MCceyCBcFnzjGY4Q7Un
The Razors Edge,The Razors Edge,AC/DC,262533,4ObCns6nM6tShx5a5tHiGC,4vu7F6h90Br1ZtYYaqfITy,711MCceyCBcFnzjGY4Q7Un
Mistress for Christmas,The Razors Edge,AC/DC,239520,6xwxKqCIdrs0RDWkmFxzZs,4vu7F6h90Br1ZtYYaqfITy,711MCceyCBcFnzjGY4Q7Un
Rock Your Heart Out,The Razors Edge,AC/DC,246680,1SbRJXUX4yNmAr7CZumctk,4vu7F6h90Br1ZtYYaqfITy,711MCceyCBcFnzjGY4Q7Un
Are You Ready,The Razors Edge,AC/DC,250333,7A1odihHBrI8n9k0Fefh2j,4vu7F6h90Br1ZtYYaqfITy,711MCceyCBcFnzjGY4Q7Un
Got You by the Balls,The Razors Edge,AC/DC,270240,1i0hnGnt14GL713mmOgJHh,4vu7F6h90Br1ZtYYaqfITy,711MCceyCBcFnzjGY4Q7Un
Shot of Love,The Razors Edge,AC/DC,236520,0NIotBOwHkVRocCRzi41da,4vu7F6h90Br1ZtYYaqfITy,711MCceyCBcFnzjGY4Q7Un
Let's Make It,The Razors Edge,AC/DC,212320,0FWmC11IDbq8T2ZTOnnBiL,4vu7F6h90Br1ZtYYaqfITy,711MCceyCBcFnzjGY4Q7Un
Goodbye and Good Riddance to Bad Luck,The Razors Edge,AC/DC,193560,3Y23ZSLRdk0d8YWAu4SnFb,4vu7F6h90Br1ZtYYaqfITy,711MCceyCBcFnzjGY4Q7Un
If You Dare,The Razors Edge,AC/DC,198360,60YOadmxT3GeNlAHbrhR8U,4vu7F6h90Br1ZtYYaqfITy,711MCceyCBcFnzjGY4Q7Un
Heatseeker,Blow Up Your Video,AC/DC,230400,0h3A3hdDq762DzIOKUoF21,5jfgUmvXCar7Qf5lidVkqI,711MCceyCBcFnzjGY4Q7Un
That's the Way I Wanna Rock 'N' Roll,Blow Up Your Video,AC/DC,225026,0u8J52fqQhQXKvAC23ICvO,5jfgUmvXCar7Qf5lidVkqI,711MCceyCBcFnzjGY4Q7Un
Meanstreak,Blow Up Your Video,AC/DC,248426,3C2qc99Ay92Iv43DknVttB,5jfgUmvXCar7Qf5lidVkqI,711MCceyCBcFnzjGY4Q7Un
Go Zone,Blow Up Your Video,AC/DC,266440,1a6B2hBwnJoqETESO6NDj3,5jfgUmvXCar7Qf5lidVkqI,711MCceyCBcFnzjGY4Q7Un
Kissin' Dynamite,Blow Up Your Video,AC/DC,238426,6MZc25P5QQDCYwUpYZ4gBA,5jfgUmvXCar7Qf5lidVkqI,711MCceyCBcFnzjGY4Q7Un
Nick of Time,Blow Up Your Video,AC/DC,256399,3wYDl8yi2F90kJdSUkyhJG,5jfgUmvXCar7Qf5lidVkqI,711MCceyCBcFnzjGY4Q7Un
Some Sin for Nuthin',Blow Up Your Video,AC/DC,251386,05spmNSk1TB5CFAEbAvLuu,5jfgUmvXCar7Qf5lidVkqI,711MCceyCBcFnzjGY4Q7Un
Ruff Stuff,Blow Up Your Video,AC/DC,268720,6D1r9yXvmn0zcw5vZuPSw5,5jfgUmvXCar7Qf5lidVkqI,711MCceyCBcFnzjGY4Q7Un
